,mean of diseased pixels in red plane,mean of diseased pixels in green plane,mean of diseased pixels in blue plane,mean of background pixels in red plane,mean of background pixels in green plane,mean of background pixels in blue plane,mean of boundary region pixels of disease in red plane,mean of boundary region pixels of disease in green plane,mean of boundary region pixels of disease in blue plane,mean of core region pixels of disease in red plane,mean of core region pixels of disease in green plane,mean of core region pixels of disease in blue plane,standard deviation of diseased pixels in red plane,standard deviation of diseased pixels in green plane,standard deviation of diseased pixels in blue plane,standard deviation of background pixels in red plane,standard deviation of background pixels in green plane,standard deviation of background pixels in blue plane,standard deviation of boundary region pixels of disease in red plane,standard deviation of boundary region pixels of disease in green plane,standard deviation of boundary region pixels of disease in blue plane,standard deviation of core region pixels of disease in red plane,standard deviation of core region pixels of disease in green plane,standard deviation of core region pixels of disease in blue plane,hight,width,perimeter,area,label
0,196.69944763183594,187.2720947265625,163.721435546875,255.0,254.98443603515625,201.21482849121094,5.0699615478515625,3.9532470703125,4.5096588134765625,22.067413330078125,21.960052490234375,10.514190673828125,53.627833012082846,44.975379482843636,76.62294852690533,0.0,1.992126702334616,104.0306400081791,35.59684936346832,31.503171912217873,33.60990887852207,45.528642323807304,44.276530859566925,29.145626980085304,"[308.0487863143331, 308.0487863143331, 308.0487863143331, 308.0487863143331, 7.833478524456394, 7.833478524456394, 7.833478524456394, 7.833478524456394, 49.91238602037877, 49.91238602037877, 49.91238602037877, 49.91238602037877, 7.320688265130101, 7.320688265130101, 7.320688265130101, 7.320688265130101, 5.787512239469432, 5.787512239469432, 5.787512239469432, 5.787512239469432]","[3081.0, 3081.0, 3081.0, 3081.0, 53.005524143225585, 53.005524143225585, 53.005524143225585, 53.005524143225585, 468.82850211987994, 468.82850211987994, 468.82850211987994, 468.82850211987994, 160.59194134714937, 160.59194134714937, 160.59194134714937, 160.59194134714937, 109.94811049419879, 109.94811049419879, 109.94811049419879, 109.94811049419879]","[6778.097572628666, 6778.097572628666, 6778.097572628666, 6778.097572628666, 121.67800533536396, 121.67800533536396, 121.67800533536396, 121.67800533536396, 1037.4817762805174, 1037.4817762805174, 1037.4817762805174, 1037.4817762805174, 335.8252592245589, 335.8252592245589, 335.8252592245589, 335.8252592245589, 231.47124546733644, 231.47124546733644, 231.47124546733644, 231.47124546733644]","[949098.3106344602, 949098.3106344602, 949098.3106344602, 949098.3106344602, 415.21763505351254, 415.21763505351254, 415.21763505351254, 415.21763505351254, 23400.349175163414, 23400.349175163414, 23400.349175163414, 23400.349175163414, 1175.6435404945378, 1175.6435404945378, 1175.6435404945378, 1175.6435404945378, 636.326035191713, 636.326035191713, 636.326035191713, 636.326035191713]",Bacterial leaf blight
1,193.91110229492188,185.04847717285156,159.2592315673828,255.0,254.97276306152344,195.4639434814453,5.719757080078125,4.5952606201171875,5.21392822265625,13.492919921875,13.871170043945312,6.1419525146484375,54.94461573593819,46.004646562172304,78.66736492810584,0.0,2.635275594829858,107.8756338866702,37.76006401431039,33.9216013472696,36.08831735155204,31.09825921165911,32.01773850142673,16.290980110332978,"[174.72741848131182, 174.72741848131182, 174.72741848131182, 174.72741848131182, 34.9345901606731, 34.9345901606731, 34.9345901606731, 34.9345901606731, 27.564055333041715, 27.564055333041715, 27.564055333041715, 27.564055333041715]","[3081.0, 3081.0, 3081.0, 3081.0, 3866.3614694621456, 3866.3614694621456, 3866.3614694621456, 3866.3614694621456, 248.66198339507784, 248.66198339507784, 248.66198339507784, 248.66198339507784]","[6511.454836962624, 6511.454836962624, 6511.454836962624, 6511.454836962624, 7802.592119245637, 7802.592119245637, 7802.592119245637, 7802.592119245637, 552.4520774562391, 552.4520774562391, 552.4520774562391, 552.4520774562391]","[538335.1763409217, 538335.1763409217, 538335.1763409217, 538335.1763409217, 135069.75334867788, 135069.75334867788, 135069.75334867788, 135069.75334867788, 6854.132669525826, 6854.132669525826, 6854.132669525826, 6854.132669525826]",Bacterial leaf blight
2,196.20262145996094,189.65090942382812,154.84542846679688,255.0,255.0,188.33175659179688,3.65753173828125,2.7587127685546875,3.073883056640625,6.2081451416015625,6.1248016357421875,1.260955810546875,53.055984350756816,44.12378783998211,87.20402843290142,0.0,0.0,112.05243143259489,30.31984589085479,26.37918231943626,27.82788929109531,25.772903387339067,24.67975991434369,8.303872709000636,"[0.49962727631031867, 0.49962727631031867, 0.49962727631031867, 0.49962727631031867, 8.056247759388334, 8.056247759388334, 8.056247759388334, 8.056247759388334]","[3080.9999999999995, 3080.9999999999995, 3080.9999999999995, 3080.9999999999995, 2433.2933764666595, 2433.2933764666595, 2433.2933764666595, 2433.2933764666595]","[6162.999254552619, 6162.999254552619, 6162.999254552619, 6162.999254552619, 4882.699248452096, 4882.699248452096, 4882.699248452096, 4882.699248452096]","[1539.3516383120916, 1539.3516383120916, 1539.3516383120916, 1539.3516383120916, 19603.214312094, 19603.214312094, 19603.214312094, 19603.214312094]",Bacterial leaf blight
3,174.91275024414062,171.3362579345703,131.14024353027344,250.05455017089844,254.99221801757812,158.67462158203125,6.05438232421875,5.501861572265625,2.3540496826171875,3.068023681640625,3.3953857421875,0.871185302734375,68.72642785545541,59.01605508978237,98.29895135870953,35.16578212422891,1.408667795588339,123.6300649891326,38.82282765780938,37.05002321412716,24.387314718089662,13.045190028748447,14.598991946940307,3.795505448257549,"[0.5134961131344098, 0.5134961131344098, 0.5134961131344098, 0.5134961131344098, 12.878416999398965, 12.878416999398965, 12.878416999398965, 12.878416999398965]","[3081.0, 3081.0, 3081.0, 3081.0, 2638.234541255964, 2638.234541255964, 2638.234541255964, 2638.234541255964]","[6163.026992226269, 6163.026992226269, 6163.026992226269, 6163.026992226269, 5302.225916510726, 5302.225916510726, 5302.225916510726, 5302.225916510726]","[1582.0815245671165, 1582.0815245671165, 1582.0815245671165, 1582.0815245671165, 33976.28456451234, 33976.28456451234, 33976.28456451234, 33976.28456451234]",Bacterial leaf blight
4,190.6336669921875,186.19741821289062,143.45098876953125,254.36187744140625,255.0,181.01280212402344,14.420013427734375,13.163223266601562,12.68463134765625,21.262924194335938,19.415069580078125,8.585739135742188,57.12980101825316,50.0001006778713,90.53564548436368,12.740253217327355,0.0,115.7265311362745,58.899631890328706,56.42119713562446,55.4407893272309,55.92865575720967,49.21537303601154,26.73012145848514,"[67.88009516466622, 67.88009516466622, 67.88009516466622, 67.88009516466622, 12.773894141274889, 12.773894141274889, 12.773894141274889, 12.773894141274889, 22.411268507683072, 22.411268507683072, 22.411268507683072, 22.411268507683072, 16.784734067719892, 16.784734067719892, 16.784734067719892, 16.784734067719892, 71.07272475899681, 71.07272475899681, 71.07272475899681, 71.07272475899681, 20.022977201004736, 20.022977201004736, 20.022977201004736, 20.022977201004736, 10.500896590277193, 10.500896590277193, 10.500896590277193, 10.500896590277193, 14.37063090893425, 14.37063090893425, 14.37063090893425, 14.37063090893425, 13.665865444806382, 13.665865444806382, 13.665865444806382, 13.665865444806382, 7.983683838296805, 7.983683838296805, 7.983683838296805, 7.983683838296805, 7.983683838296805, 7.983683838296805, 7.983683838296805, 7.983683838296805, 0.7983683838296806, 0.7983683838296806, 0.7983683838296806, 0.7983683838296806]","[3081.0, 3081.0, 3081.0, 3081.0, 25.547788282549778, 25.547788282549778, 25.547788282549778, 25.547788282549778, 1383.6597063701438, 1383.6597063701438, 1383.6597063701438, 1383.6597063701438, 1073.8295160707057, 1073.8295160707057, 1073.8295160707057, 1073.8295160707057, 2368.031821739934, 2368.031821739934, 2368.031821739934, 2368.031821739934, 2005.4004692170759, 2005.4004692170759, 2005.4004692170759, 2005.4004692170759, 384.9137581007963, 384.9137581007963, 384.9137581007963, 384.9137581007963, 1320.5013068542917, 1320.5013068542917, 1320.5013068542917, 1320.5013068542917, 149.11546727849597, 149.11546727849597, 149.11546727849597, 149.11546727849597, 669.0327056492723, 669.0327056492723, 669.0327056492723, 669.0327056492723, 289.0093549463444, 289.0093549463444, 289.0093549463444, 289.0093549463444, 518.9449766255923, 518.9449766255923, 518.9449766255923, 518.9449766255923]","[6297.7601903293325, 6297.7601903293325, 6297.7601903293325, 6297.7601903293325, 76.64336484764934, 76.64336484764934, 76.64336484764934, 76.64336484764934, 2812.1419497556535, 2812.1419497556535, 2812.1419497556535, 2812.1419497556535, 2181.2285002768513, 2181.2285002768513, 2181.2285002768513, 2181.2285002768513, 4878.209092997861, 4878.209092997861, 4878.209092997861, 4878.209092997861, 4050.8468928361613, 4050.8468928361613, 4050.8468928361613, 4050.8468928361613, 790.829309382147, 790.829309382147, 790.829309382147, 790.829309382147, 2669.743875526452, 2669.743875526452, 2669.743875526452, 2669.743875526452, 325.5626654466047, 325.5626654466047, 325.5626654466047, 325.5626654466047, 1354.0327789751382, 1354.0327789751382, 1354.0327789751382, 1354.0327789751382, 593.9860775692824, 593.9860775692824, 593.9860775692824, 593.9860775692824, 1039.486690018844, 1039.486690018844, 1039.486690018844, 1039.486690018844]","[209138.5732023366, 209138.5732023366, 209138.5732023366, 209138.5732023366, 326.34474306499385, 326.34474306499385, 326.34474306499385, 326.34474306499385, 31009.56920272321, 31009.56920272321, 31009.56920272321, 31009.56920272321, 18023.94286131514, 18023.94286131514, 18023.94286131514, 18023.94286131514, 168302.47388706813, 168302.47388706813, 168302.47388706813, 168302.47388706813, 40154.08787401771, 40154.08787401771, 40154.08787401771, 40154.08787401771, 4041.9395699914326, 4041.9395699914326, 4041.9395699914326, 4041.9395699914326, 18976.436895568357, 18976.436895568357, 18976.436895568357, 18976.436895568357, 2037.7919115673549, 2037.7919115673549, 2037.7919115673549, 2037.7919115673549, 5341.345599384079, 5341.345599384079, 5341.345599384079, 5341.345599384079, 2307.3593162017146, 2307.3593162017146, 2307.3593162017146, 2307.3593162017146, 414.3092622851055, 414.3092622851055, 414.3092622851055, 414.3092622851055]",Bacterial leaf blight
5,206.34800720214844,197.20916748046875,164.451904296875,255.0,254.97665405273438,203.84902954101562,4.6186065673828125,4.09332275390625,4.381256103515625,24.815414428710938,23.116348266601562,7.2603912353515625,50.07484022959513,45.857767009610185,82.63756032076567,0.0,2.4398097301799266,102.11305346597527,34.00607516398129,32.04749617487218,33.13645879317661,54.103577363815596,48.998853373360696,20.23411838624108,"[0.537696261383155, 0.537696261383155, 0.537696261383155, 0.537696261383155, 19.38691441042253, 19.38691441042253, 19.38691441042253, 19.38691441042253, 9.738093468322148, 9.738093468322148, 9.738093468322148, 9.738093468322148]","[3081.0, 3081.0, 3081.0, 3081.0, 408.03317367267135, 408.03317367267135, 408.03317367267135, 408.03317367267135, 121.82351036746697, 121.82351036746697, 121.82351036746697, 121.82351036746697]","[6163.075392522766, 6163.075392522766, 6163.075392522766, 6163.075392522766, 854.8401761661878, 854.8401761661878, 854.8401761661878, 854.8401761661878, 263.12320767157826, 263.12320767157826, 263.12320767157826, 263.12320767157826]","[1656.6421813215004, 1656.6421813215004, 1656.6421813215004, 1656.6421813215004, 7910.504214605151, 7910.504214605151, 7910.504214605151, 7910.504214605151, 1186.3287305975057, 1186.3287305975057, 1186.3287305975057, 1186.3287305975057]",Bacterial leaf blight
6,181.03883361816406,173.33074951171875,122.63597106933594,254.99610900878906,254.99221801757812,158.17657470703125,12.848052978515625,8.813095092773438,10.174942016601562,45.536529541015625,43.28370666503906,11.940689086914062,55.48851212779232,50.48176059100871,88.79322319993535,0.9960861503788008,1.408667795588339,123.75458684123159,55.777961993808454,46.57970162573993,49.91072799701678,67.20732771434072,62.83697537496,25.956230429496955,"[1.1848919448849777, 1.1848919448849777, 1.1848919448849777, 1.1848919448849777, 25.191148292924122, 25.191148292924122, 25.191148292924122, 25.191148292924122, 29.372417367102354, 29.372417367102354, 29.372417367102354, 29.372417367102354, 16.840478676473765, 16.840478676473765, 16.840478676473765, 16.840478676473765, 28.68319695810139, 28.68319695810139, 28.68319695810139, 28.68319695810139, 8.378451292014846, 8.378451292014846, 8.378451292014846, 8.378451292014846, 13.509846769557738, 13.509846769557738, 13.509846769557738, 13.509846769557738, 15.449100833998783, 15.449100833998783, 15.449100833998783, 15.449100833998783, 108.81669853548938, 108.81669853548938, 108.81669853548938, 108.81669853548938, 20.10828310083563, 20.10828310083563, 20.10828310083563, 20.10828310083563, 281.8399432574345, 281.8399432574345, 281.8399432574345, 281.8399432574345]","[3081.0, 3081.0, 3081.0, 3081.0, 2638.9908501988775, 2638.9908501988775, 2638.9908501988775, 2638.9908501988775, 2748.271107661588, 2748.271107661588, 2748.271107661588, 2748.271107661588, 662.6629364735019, 662.6629364735019, 662.6629364735019, 662.6629364735019, 154.89941530167562, 154.89941530167562, 154.89941530167562, 154.89941530167562, 85.46020317855144, 85.46020317855144, 85.46020317855144, 85.46020317855144, 120.6962365811341, 120.6962365811341, 120.6962365811341, 120.6962365811341, 54.8900474091651, 54.8900474091651, 54.8900474091651, 54.8900474091651, 508.26754504836555, 508.26754504836555, 508.26754504836555, 508.26754504836555, 108.919866796193, 108.919866796193, 108.919866796193, 108.919866796193, 138.42459259299088, 138.42459259299088, 138.42459259299088, 138.42459259299088]","[6164.36978388977, 6164.36978388977, 6164.36978388977, 6164.36978388977, 5328.363996983603, 5328.363996983603, 5328.363996983603, 5328.363996983603, 5555.287050057381, 5555.287050057381, 5555.287050057381, 5555.287050057381, 1359.0068302999512, 1359.0068302999512, 1359.0068302999512, 1359.0068302999512, 367.16522451955404, 367.16522451955404, 367.16522451955404, 367.16522451955404, 187.67730894113257, 187.67730894113257, 187.67730894113257, 187.67730894113257, 268.4121667013837, 268.4121667013837, 268.4121667013837, 268.4121667013837, 140.67829648632775, 140.67829648632775, 140.67829648632775, 140.67829648632775, 1234.1684871677098, 1234.1684871677098, 1234.1684871677098, 1234.1684871677098, 258.0562997940573, 258.0562997940573, 258.0562997940573, 258.0562997940573, 840.5290717008509, 840.5290717008509, 840.5290717008509, 840.5290717008509]","[3650.6520821906165, 3650.6520821906165, 3650.6520821906165, 3650.6520821906165, 66479.20985102984, 66479.20985102984, 66479.20985102984, 66479.20985102984, 80723.36601218485, 80723.36601218485, 80723.36601218485, 80723.36601218485, 11159.561051371498, 11159.561051371498, 11159.561051371498, 11159.561051371498, 4443.010437792706, 4443.010437792706, 4443.010437792706, 4443.010437792706, 716.0241497371856, 716.0241497371856, 716.0241497371856, 716.0241497371856, 1630.587661873411, 1630.587661873411, 1630.587661873411, 1630.587661873411, 848.0018772071652, 848.0018772071652, 848.0018772071652, 848.0018772071652, 55307.99622490126, 55307.99622490126, 55307.99622490126, 55307.99622490126, 2190.191516843156, 2190.191516843156, 2190.191516843156, 2190.191516843156, 39013.57932184204, 39013.57932184204, 39013.57932184204, 39013.57932184204]",Bacterial leaf blight
7,196.82984924316406,189.18215942382812,156.82635498046875,254.88327026367188,254.98443603515625,191.35116577148438,5.5680084228515625,5.0699615478515625,4.3462371826171875,9.772476196289062,9.018112182617188,3.02960205078125,57.40955007623122,50.652946595953466,88.4348839401333,5.454581279285207,1.992126702334616,110.35976907198756,37.26713605886831,35.59684936346832,33.00607071312516,32.50195409741067,29.05183658036106,13.60780891849748,"[32.64664663278942, 32.64664663278942, 32.64664663278942, 32.64664663278942, 5.700351765906005, 5.700351765906005, 5.700351765906005, 5.700351765906005]","[3081.0, 3081.0, 3081.0, 3081.0, 90.82433274950336, 90.82433274950336, 90.82433274950336, 90.82433274950336]","[6227.2932932655785, 6227.2932932655785, 6227.2932932655785, 6227.2932932655785, 193.04936903081872, 193.04936903081872, 193.04936903081872, 193.04936903081872]","[100584.3182756242, 100584.3182756242, 100584.3182756242, 100584.3182756242, 517.730645575866, 517.730645575866, 517.730645575866, 517.730645575866]",Bacterial leaf blight
8,199.94325256347656,191.26278686523438,163.77574157714844,253.78990173339844,254.3579864501953,201.86073303222656,5.6224822998046875,4.754791259765625,4.723663330078125,17.094558715820312,16.042251586914062,5.559600830078125,56.738881364657054,50.681850777563774,84.22939268782125,17.524574750006526,12.778938680581518,103.56993474416178,37.444901912524465,34.49440144887704,34.383443020064135,43.33078572881874,39.82874257911347,23.414910076768678,"[26.89398903046341, 26.89398903046341, 26.89398903046341, 26.89398903046341, 63.086268446312424, 63.086268446312424, 63.086268446312424, 63.086268446312424]","[3081.0, 3081.0, 3081.0, 3081.0, 2254.3849823926457, 2254.3849823926457, 2254.3849823926457, 2254.3849823926457]","[6215.787978060926, 6215.787978060926, 6215.787978060926, 6215.787978060926, 4634.942501677916, 4634.942501677916, 4634.942501677916, 4634.942501677916]","[82860.38020285776, 82860.38020285776, 82860.38020285776, 82860.38020285776, 142220.73618055775, 142220.73618055775, 142220.73618055775, 142220.73618055775]",Bacterial leaf blight
9,185.20458984375,180.6369171142578,145.7988739013672,255.0,255.0,173.58489990234375,4.2139434814453125,2.8910064697265625,3.7042236328125,4.1769256591796875,4.1405792236328125,1.6921539306640625,63.27817349526,51.64861940571426,87.147849543212,0.0,0.0,118.87990579147915,32.508433799611744,26.99719858378407,30.509928771554037,19.3137781590992,18.311569177133705,9.447045925602668,"[16.853391453726307, 16.853391453726307, 16.853391453726307, 16.853391453726307]","[3081.0, 3081.0, 3081.0, 3081.0]","[6195.706782907452, 6195.706782907452, 6195.706782907452, 6195.706782907452]","[51925.29906893075, 51925.29906893075, 51925.29906893075, 51925.29906893075]",Bacterial leaf blight
